27 0.615 27 0
27 0.599 27 0
25 0.516 25 0
18 0.391 18 0
28 0.622 28 0
23 0.506 23 0
30 0.675 30 0
27 0.628 27 0
29 0.642 29 0
20 0.448 20 0
26 0.591 26 0
18 0.431 18 0
18 0.406 18 0
24 0.535 24 0
23 0.511 23 0
28 0.644 28 0
24 0.56 24 0
18 0.416 18 0
31 0.685 31 0
22 0.495 22 0
24 0.531 24 0
24 0.534 24 0
18 0.412 18 0
14 0.323 14 0
21 0.442 21 0
17 0.356 17 0
30 0.675 30 0
22 0.477 22 0
21 0.442 21 0
16 0.347 16 0
28 0.623 28 0
25 0.556 25 0
18 0.379 18 0
22 0.496 22 0
24 0.547 24 0
27 0.617 27 0
20 0.441 20 0
31 0.68 31 0
17 0.408 17 0
10 0.212 10 0
17 0.383 17 0
21 0.472 21 0
28 0.627 28 0
21 0.437 21 0
20 0.437 20 0
20 0.436 20 0
22 0.497 22 0
21 0.478 21 0
24 0.56 24 0
28 0.615 28 0
26 0.592 26 0
30 0.669 30 0
14 0.307 14 0
29 0.655 29 0
24 0.501 24 0
23 0.52 23 0
26 0.567 26 0
26 0.584 26 0
19 0.409 19 0
18 0.403 18 0
27 0.601 27 0
24 0.51 24 0
24 0.576 24 0
14 0.301 14 0
20 0.452 20 0
31 0.686 31 0
22 0.495 22 0
26 0.572 26 0
30 0.651 30 0
25 0.56 25 0
31 0.669 31 0
16 0.336 16 0
18 0.41 18 0
24 0.53 24 0
20 0.432 20 0
21 0.448 21 0
20 0.457 20 0
21 0.454 21 0
25 0.546 25 0
24 0.554 24 0
17 0.388 17 0
30 0.647 30 0
21 0.461 21 0
27 0.611 27 0
26 0.584 26 0
26 0.579 26 0
30 0.645 30 0
29 0.639 29 0
23 0.49 23 0
21 0.46 21 0
20 0.442 20 0
20 0.42 20 0
28 0.614 28 0
32 0.707 32 0
18 0.424 18 0
22 0.497 22 0
28 0.612 28 0
20 0.447 20 0
27 0.603 27 0
22 0.507 22 0
28 0.645 28 0
18 0.389 18 0
15 0.322 15 0
36 0.8 36 0
28 0.63 28 0
15 0.321 15 0
11 0.246 11 0
20 0.465 20 0
30 0.671 30 0
21 0.449 21 0
28 0.635 28 0
21 0.479 21 0
33 0.727 33 0
19 0.423 19 0
20 0.43 20 0
28 0.637 28 0
27 0.587 27 0
18 0.397 18 0
28 0.621 28 0
23 0.504 23 0
19 0.414 19 0
24 0.533 24 0
22 0.468 22 0
25 0.556 25 0
23 0.516 23 0
16 0.356 16 0
30 0.676 30 0
27 0.57 27 0
31 0.67 31 0
24 0.546 24 0
28 0.638 28 0
29 0.632 29 0
13 0.281 13 0
21 0.461 21 0
21 0.449 21 0
22 0.501 22 0
22 0.503 22 0
27 0.627 27 0
22 0.5 22 0
16 0.361 16 0
16 0.362 16 0
31 0.699 31 0
27 0.618 27 0
24 0.528 24 0
19 0.413 19 0
27 0.592 27 0
21 0.439 21 0
27 0.598 27 0
19 0.415 19 0
25 0.554 25 0
19 0.416 19 0
28 0.633 28 0
22 0.5 22 0
33 0.731 33 0
35 0.774 35 0
30 0.661 30 0
20 0.434 20 0
25 0.568 25 0
28 0.627 28 0
23 0.512 23 0
26 0.588 26 0
20 0.429 20 0
16 0.354 16 0
30 0.668 30 0
21 0.453 21 0
33 0.714 33 0
28 0.605 28 0
23 0.49 23 0
26 0.59 26 0
31 0.706 31 0
16 0.377 16 0
12 0.253 12 0
30 0.668 30 0
24 0.52 24 0
25 0.557 25 0
25 0.561 25 0
21 0.477 21 0
21 0.474 21 0
31 0.696 31 0
17 0.348 17 0
17 0.372 17 0
18 0.417 18 0
27 0.591 27 0
21 0.478 21 0
25 0.561 25 0
